Node,Category
Algeria,Country
Angola,Country
Argentina,Country
Australia,Country
Austria,Country
Belgium,Country
Bolivia,Country
Bosnia and Herzegovina,Country
Brazil,Country
Bulgaria,Country
Cameroon,Country
Canada,Country
Chile,Country
China,Country
Colombia,Country
Costa Rica,Country
Croatia,Country
Cuba,Country
Czech Republic,Country
Denmark,Country
Democratic Republic of the Congo,Country
Ecuador,Country
Egypt,Country
El Salvador,Country
England,Country
France,Country
Germany,Country
Ghana,Country
Greece,Country
Haiti,Country
Honduras,Country
Hungary,Country
Iceland,Country
Indonesia,Country
Iran,Country
Iraq,Country
Israel,Country
Italy,Country
Ivory Coast,Country
Jamaica,Country
Japan,Country
Kuwait,Country
Mexico,Country
Morocco,Country
Netherlands,Country
New Zealand,Country
Nigeria,Country
North Korea,Country
Northern Ireland,Country
Norway,Country
Panama,Country
Paraguay,Country
Peru,Country
Poland,Country
Portugal,Country
Qatar,Country
Republic of Ireland,Country
Romania,Country
Russia,Country
Saudi Arabia,Country
Scotland,Country
Senegal,Country
Serbia,Country
Slovakia,Country
Slovenia,Country
South Africa,Country
South Korea,Country
Spain,Country
Sweden,Country
Switzerland,Country
Togo,Country
Trinidad and Tobago,Country
Tunisia,Country
Turkey,Country
Ukraine,Country
United Arab Emirates,Country
United States,Country
Uruguay,Country
Wales,Country
