Node,Category
Russia,Country
Germany,Country
Brazil,Country
Portugal,Country
Argentina,Country
Belgium,Country
Poland,Country
France,Country
Spain,Country
Peru,Country
Switzerland,Country
England,Country
Colombia,Country
Mexico,Country
Uruguay,Country
Croatia,Country
Denmark,Country
Iceland,Country
Costa Rica,Country
Sweden,Country
Tunisia,Country
Egypt,Country
Senegal,Country
Iran,Country
Serbia,Country
Nigeria,Country
Australia,Country
Japan,Country
Morocco,Country
Panama,Country
South Korea,Country
Saudi Arabia,Country
